[2024-05-12T13:03:52.437+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833046/second-night-of-auroras-seen-amid-extreme-solar-storm
[2024-05-12T13:03:52.437+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833000/adb-links-support-with-imfs-clean-chit
[2024-05-12T13:03:52.437+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833000/adb-links-support-with-imfs-clean-chit
[2024-05-12T13:03:52.438+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832980/govt-hints-at-raising-wheat-purchase-target
[2024-05-12T13:03:52.438+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832980/govt-hints-at-raising-wheat-purchase-target
[2024-05-12T13:03:52.438+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832990/kp-governor-cm-gandapur-exchange-threats-in-acrid-spat
[2024-05-12T13:03:52.439+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832990/kp-governor-cm-gandapur-exchange-threats-in-acrid-spat
[2024-05-12T13:03:52.439+0000] {logging_mixin.py:188} INFO - /latest-news
[2024-05-12T13:03:52.439+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/c/DawnNewsEnglish
[2024-05-12T13:03:52.439+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=UeSr8kxz7kE
[2024-05-12T13:03:52.439+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=UeSr8kxz7kE
[2024-05-12T13:03:52.439+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=DLnFKstpqSM
[2024-05-12T13:03:52.440+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=DLnFKstpqSM
[2024-05-12T13:03:52.440+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=ax6GtKBV4o4
[2024-05-12T13:03:52.440+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=ax6GtKBV4o4
[2024-05-12T13:03:52.440+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=6Y6pv4dgwok
[2024-05-12T13:03:52.440+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=6Y6pv4dgwok
[2024-05-12T13:03:52.441+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=368pk1LtbvY
[2024-05-12T13:03:52.441+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=368pk1LtbvY
[2024-05-12T13:03:52.441+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=ZKNxVl6yFyc
[2024-05-12T13:03:52.441+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=ZKNxVl6yFyc
[2024-05-12T13:03:52.441+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=1j9DKEupIUY
[2024-05-12T13:03:52.441+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=1j9DKEupIUY
[2024-05-12T13:03:52.442+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=2FbxyFxRHdM
[2024-05-12T13:03:52.442+0000] {logging_mixin.py:188} INFO - https://www.youtube.com/watch?v=2FbxyFxRHdM
[2024-05-12T13:03:52.442+0000] {logging_mixin.py:188} INFO - /must-read
[2024-05-12T13:03:52.442+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832981
[2024-05-12T13:03:52.442+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832981
[2024-05-12T13:03:52.443+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1332592
[2024-05-12T13:03:52.443+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1332592
[2024-05-12T13:03:52.443+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833021
[2024-05-12T13:03:52.443+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833021
[2024-05-12T13:03:52.443+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832983/who-can-rock-the-hybrid-boat
[2024-05-12T13:03:52.444+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832983/who-can-rock-the-hybrid-boat
[2024-05-12T13:03:52.444+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832997/looming-pension-crisis-cries-out-for-corrective-measures
[2024-05-12T13:03:52.444+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832997/looming-pension-crisis-cries-out-for-corrective-measures
[2024-05-12T13:03:52.444+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833014
[2024-05-12T13:03:52.444+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833014
[2024-05-12T13:03:52.444+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832987
[2024-05-12T13:03:52.445+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832987
[2024-05-12T13:03:52.445+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832965/love-knows-no-boundaries-at-karachis-edhi-home-nursery-for-special-children
[2024-05-12T13:03:52.445+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832965/love-knows-no-boundaries-at-karachis-edhi-home-nursery-for-special-children
[2024-05-12T13:03:52.445+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832958/documentary-on-dr-aafia-siddiqui-launched-in-karachi
[2024-05-12T13:03:52.445+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832958/documentary-on-dr-aafia-siddiqui-launched-in-karachi
[2024-05-12T13:03:52.446+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832974
[2024-05-12T13:03:52.446+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832974
[2024-05-12T13:03:52.446+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832982
[2024-05-12T13:03:52.446+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832982
[2024-05-12T13:03:52.446+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/sponsor-content
[2024-05-12T13:03:52.446+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833048/to-draw-or-not-to-draw
[2024-05-12T13:03:52.447+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833048/to-draw-or-not-to-draw
[2024-05-12T13:03:52.447+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1831567
[2024-05-12T13:03:52.447+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1831567
[2024-05-12T13:03:52.447+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/9835/nadir-guramani
[2024-05-12T13:03:52.447+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/2617/jamil-nagri
[2024-05-12T13:03:52.448+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/934/tariq-naqash
[2024-05-12T13:03:52.448+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/1521/zahoor
[2024-05-12T13:03:52.448+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/262/iftikhar-a-khan
[2024-05-12T13:03:52.448+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832658/pakistans-icube-qamar-beams-back-first-images-from-moons-orbit
[2024-05-12T13:03:52.448+0000] {logging_mixin.py:188} INFO - /pakistan
[2024-05-12T13:03:52.449+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832658/pakistans-icube-qamar-beams-back-first-images-from-moons-orbit
[2024-05-12T13:03:52.449+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832750/ruling-coalition-loses-27-reserved-seats-in-punjab
[2024-05-12T13:03:52.449+0000] {logging_mixin.py:188} INFO - /pakistan
[2024-05-12T13:03:52.449+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832750/ruling-coalition-loses-27-reserved-seats-in-punjab
[2024-05-12T13:03:52.449+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832796/pia-staff-forgets-to-put-boys-body-on-plane
[2024-05-12T13:03:52.450+0000] {logging_mixin.py:188} INFO - /pakistan
[2024-05-12T13:03:52.450+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832796/pia-staff-forgets-to-put-boys-body-on-plane
[2024-05-12T13:03:52.450+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832699/downside-risks-for-pakistan-remain-exceptionally-high-imf
[2024-05-12T13:03:52.450+0000] {logging_mixin.py:188} INFO - /business
[2024-05-12T13:03:52.450+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832699/downside-risks-for-pakistan-remain-exceptionally-high-imf
[2024-05-12T13:03:52.450+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832670/pakistan-remain-unbeaten-in-azlan-shah-cup-as-match-with-new-zealand-ends-in-tie
[2024-05-12T13:03:52.451+0000] {logging_mixin.py:188} INFO - /sport
[2024-05-12T13:03:52.451+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832670/pakistan-remain-unbeaten-in-azlan-shah-cup-as-match-with-new-zealand-ends-in-tie
[2024-05-12T13:03:52.451+0000] {logging_mixin.py:188} INFO - /opinion
[2024-05-12T13:03:52.451+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832983/who-can-rock-the-hybrid-boat
[2024-05-12T13:03:52.451+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832983/who-can-rock-the-hybrid-boat
[2024-05-12T13:03:52.452+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/112/abbas-nasir
[2024-05-12T13:03:52.452+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832982/insurgency-and-social-change
[2024-05-12T13:03:52.452+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832982/insurgency-and-social-change
[2024-05-12T13:03:52.452+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/363/muhammad-amir-rana
[2024-05-12T13:03:52.452+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832981/indian-elections
[2024-05-12T13:03:52.452+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832981/indian-elections
[2024-05-12T13:03:52.453+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/9600/aizaz-ahmad-chaudhry
[2024-05-12T13:03:52.453+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832979/overflowing-cups
[2024-05-12T13:03:52.453+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832979/overflowing-cups
[2024-05-12T13:03:52.453+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/1320/muna-khan
[2024-05-12T13:03:52.453+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832832/the-lethal-troika
[2024-05-12T13:03:52.454+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832832/the-lethal-troika
[2024-05-12T13:03:52.454+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/3134/tariq-parvez
[2024-05-12T13:03:52.454+0000] {logging_mixin.py:188} INFO - /newspaper/editorial
[2024-05-12T13:03:52.454+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832987/a-turbulent-2023
[2024-05-12T13:03:52.455+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832986/a-moral-victory
[2024-05-12T13:03:52.455+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832984/hope-after-defeat
[2024-05-12T13:03:52.455+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832985/cartoon-12-may-2024
[2024-05-12T13:03:52.455+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/3134/tariq-parvez
[2024-05-12T13:03:52.455+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832832/the-lethal-troika
[2024-05-12T13:03:52.456+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/675/khurram-husain
[2024-05-12T13:03:52.456+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832368/the-net-metering-dead-end
[2024-05-12T13:03:52.456+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/815/reema-omer
[2024-05-12T13:03:52.456+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832831/an-inclusive-judiciary
[2024-05-12T13:03:52.456+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/5582/sahar-bandial
[2024-05-12T13:03:52.456+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832829/child-marriages
[2024-05-12T13:03:52.457+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/568/faisal-bari
[2024-05-12T13:03:52.457+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832621/education-emergency
[2024-05-12T13:03:52.457+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/authors/2112/mohammad-ali-babakhel
[2024-05-12T13:03:52.457+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832830/street-safety
[2024-05-12T13:03:52.457+0000] {logging_mixin.py:188} INFO - /business
[2024-05-12T13:03:52.457+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833053/imf-mission-to-meet-pakistani-authorities-next-week-to-discuss-next-phase-of-engagement-official
[2024-05-12T13:03:52.458+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833053/imf-mission-to-meet-pakistani-authorities-next-week-to-discuss-next-phase-of-engagement-official
[2024-05-12T13:03:52.458+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833050/no-such-thing-as-strategic-state-owned-enterprises-says-finance-minister-aurangzeb
[2024-05-12T13:03:52.458+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833050/no-such-thing-as-strategic-state-owned-enterprises-says-finance-minister-aurangzeb
[2024-05-12T13:03:52.458+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833000/adb-links-support-with-imfs-clean-chit
[2024-05-12T13:03:52.458+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833000/adb-links-support-with-imfs-clean-chit
[2024-05-12T13:03:52.459+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832993/areas-of-cooperation-with-saudi-arabia-identified-pm-shehbaz
[2024-05-12T13:03:52.459+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832993/areas-of-cooperation-with-saudi-arabia-identified-pm-shehbaz
[2024-05-12T13:03:52.459+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832994
[2024-05-12T13:03:52.459+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832994
[2024-05-12T13:03:52.459+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832999/exports-to-europe-fall-despite-gsp
[2024-05-12T13:03:52.460+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832999/exports-to-europe-fall-despite-gsp
[2024-05-12T13:03:52.460+0000] {logging_mixin.py:188} INFO - /sport
[2024-05-12T13:03:52.460+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833052/fight-till-the-last-ball-pcb-chief-tells-cricket-team-in-dublin
[2024-05-12T13:03:52.460+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833052/fight-till-the-last-ball-pcb-chief-tells-cricket-team-in-dublin
[2024-05-12T13:03:52.460+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833021
[2024-05-12T13:03:52.460+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833021
[2024-05-12T13:03:52.461+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832946/bednarek-storms-to-200m-triumph-in-doha-neeraj-chopra-falls-short
[2024-05-12T13:03:52.461+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832946/bednarek-storms-to-200m-triumph-in-doha-neeraj-chopra-falls-short
[2024-05-12T13:03:52.461+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832928/real-madrid-eagerly-awaits-mbappe-after-psg-exit-confirmed
[2024-05-12T13:03:52.461+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832928/real-madrid-eagerly-awaits-mbappe-after-psg-exit-confirmed
[2024-05-12T13:03:52.461+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832945/djokovic-bottle-strike-overshadows-rome-open-cruise-past-moutet
[2024-05-12T13:03:52.462+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832945/djokovic-bottle-strike-overshadows-rome-open-cruise-past-moutet
[2024-05-12T13:03:52.462+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832868/sultan-azlan-shah-cup-pakistan-fall-as-dead-sport-recaptures-audience-once-again
[2024-05-12T13:03:52.462+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832868/sultan-azlan-shah-cup-pakistan-fall-as-dead-sport-recaptures-audience-once-again
[2024-05-12T13:03:52.462+0000] {logging_mixin.py:188} INFO - /world
[2024-05-12T13:03:52.462+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833046/second-night-of-auroras-seen-amid-extreme-solar-storm
[2024-05-12T13:03:52.463+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833046/second-night-of-auroras-seen-amid-extreme-solar-storm
[2024-05-12T13:03:52.463+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833042/canada-arrests-fourth-indian-national-in-killing-of-sikh-activist
[2024-05-12T13:03:52.463+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833042/canada-arrests-fourth-indian-national-in-killing-of-sikh-activist
[2024-05-12T13:03:52.463+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832947/israel-orders-palestinians-to-evacuate-from-more-areas-of-rafah
[2024-05-12T13:03:52.463+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832947/israel-orders-palestinians-to-evacuate-from-more-areas-of-rafah
[2024-05-12T13:03:52.464+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832948/uae-hits-out-at-netanyahu-for-saying-it-may-help-run-gaza
[2024-05-12T13:03:52.464+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1832948/uae-hits-out-at-netanyahu-for-saying-it-may-help-run-gaza
[2024-05-12T13:03:52.464+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833001/washington-says-use-of-its-weapons-by-tel-aviv-in-gaza-violated-law
[2024-05-12T13:03:52.464+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833001/washington-says-use-of-its-weapons-by-tel-aviv-in-gaza-violated-law
[2024-05-12T13:03:52.464+0000] {logging_mixin.py:188} INFO - https://www.dawn.com/news/1833009/delhi-cm-kejriwal-exhorts-indians-to-resist-dictatorship
